Year,Sqft,Bedrooms,Bathrooms,Floors,Price
1921,3650,5,2.5,2,2380000
1909,2920,4,2.5,1.5,1400000
1939,2910,5,2.75,1.5,1200000
2001,3310,4,2.5,2,838000
1929,2710,3,2,1.5,805000
1951,2600,3,2.5,1,790000
2006,3660,5,3.25,2,785000
1923,2240,3,1.75,2,750000
1955,2390,3,2.5,1,750000
1920,2200,4,2.25,1.5,698000
1979,2820,5,2.5,2,675000
1945,1820,4,2,1.5,650000
1945,1520,4,2,1.5,640000
2000,2710,4,2.75,2,630000
2005,1750,3,2.25,2.5,626000
2014,2820,4,2.5,2,625000
2007,2730,4,3.25,1,625000
1948,2360,3,1.75,1,615000
1991,2730,4,2.5,2,612500
1995,3240,3,2.5,2,604000
1980,2330,3,1.75,1,588500
2012,3310,4,2.5,2,555000
1976,1940,4,2.5,1,550000
1979,2910,3,1.75,1.5,550000
2004,2860,4,2.5,2,499950
1959,1600,4,1.75,1,495000
1968,2190,4,1.75,1,491500
1938,880,2,1,1,490000
1989,2710,4,2.5,2,482000
1976,2210,5,2.5,1,470000
1948,1710,3,1.75,1,463000
2013,2680,3,2.5,2,459990
1985,2430,3,2.5,1,452500
2001,1270,3,2.5,3,445700
1966,2160,4,2.25,1,440000
1944,800,2,1,1,440000
1990,1770,3,2.5,2,439950
1977,1970,3,2.25,2,437500
2007,1770,3,2.5,3,436110
1954,1450,4,1,1,435000
1954,1920,4,1.5,1,430000
1963,2000,3,2.25,1,420000
1956,1570,3,1.5,1,419000
1996,1930,3,2.5,2,407500
1957,1960,3,2,1,403000
1979,3630,4,2.5,1.5,400000
2008,1320,3,3.25,2,385000
1967,1560,4,1.75,1,382500
1997,3110,4,3,2,367500
1955,1090,3,1,1,365000
1966,1930,3,2,1,342000
1976,1350,2,2,1,335000
1978,1580,3,2.25,1,335000
1968,1160,3,1,1,315000
1955,1340,3,1.5,1.5,313000
1950,850,2,1,1,308500
2006,2540,3,2.5,2,300000
2009,1630,2,2.5,2,295000
1992,1850,3,3,1,287200
1987,2200,4,2.5,2,285000
1987,2090,3,2.5,1,285000
1968,1800,3,1.75,1,284000
1983,1180,3,1.5,1,275000
1974,1480,4,2,1,260000
